Time(s)	Signal
0.000000	0.000000
0.001000	0.037697
0.002000	0.075380
0.003000	0.113037
0.004000	0.150654
0.005000	0.188217
0.006000	0.225713
0.007000	0.263129
0.008000	0.300451
0.009000	0.337667
0.010000	0.374763
0.011000	0.411725
0.012000	0.448542
0.013000	0.485198
0.014000	0.521683
0.015000	0.557982
0.016000	0.594083
0.017000	0.629973
0.018000	0.665639
0.019000	0.701069
0.020000	0.736249
0.021000	0.771168
0.022000	0.805813
0.023000	0.840171
0.024000	0.874232
0.025000	0.907981
0.026000	0.941408
0.027000	0.974500
0.028000	1.007246
0.029000	1.039635
0.030000	1.071654
0.031000	1.103292
0.032000	1.134538
0.033000	1.165381
0.034000	1.195810
0.035000	1.225814
0.036000	1.255383
0.037000	1.284505
0.038000	1.313172
0.039000	1.341371
0.040000	1.369094
0.041000	1.396331
0.042000	1.423071
0.043000	1.449306
0.044000	1.475026
0.045000	1.500222
0.046000	1.524885
0.047000	1.549006
0.048000	1.572577
0.049000	1.595589
0.050000	1.618034
0.051000	1.639904
0.052000	1.661192
0.053000	1.681889
0.054000	1.701989
0.055000	1.721484
0.056000	1.740368
0.057000	1.758633
0.058000	1.776273
0.059000	1.793282
0.060000	1.809654
0.061000	1.825383
0.062000	1.840464
0.063000	1.854890
0.064000	1.868658
0.065000	1.881762
0.066000	1.894197
0.067000	1.905959
0.068000	1.917044
0.069000	1.927447
0.070000	1.937166
0.071000	1.946197
0.072000	1.954536
0.073000	1.962181
0.074000	1.969129
0.075000	1.975377
0.076000	1.980923
0.077000	1.985765
0.078000	1.989902
0.079000	1.993332
0.080000	1.996053
0.081000	1.998066
0.082000	1.999368
0.083000	1.999961
0.084000	1.999842
0.085000	1.999013
0.086000	1.997474
0.087000	1.995225
0.088000	1.992267
0.089000	1.988602
0.090000	1.984229
0.091000	1.979152
0.092000	1.973372
0.093000	1.966890
0.094000	1.959710
0.095000	1.951834
0.096000	1.943263
0.097000	1.934003
0.098000	1.924055
0.099000	1.913424
0.100000	1.902113
0.101000	1.890126
0.102000	1.877468
0.103000	1.864142
0.104000	1.850154
0.105000	1.835509
0.106000	1.820212
0.107000	1.804268
0.108000	1.787683
0.109000	1.770463
0.110000	1.752613
0.111000	1.734141
0.112000	1.715053
0.113000	1.695356
0.114000	1.675056
0.115000	1.654161
0.116000	1.632679
0.117000	1.610616
0.118000	1.587981
0.119000	1.564782
0.120000	1.541026
0.121000	1.516724
0.122000	1.491882
0.123000	1.466511
0.124000	1.440618
0.125000	1.414214
0.126000	1.387307
0.127000	1.359907
0.128000	1.332024
0.129000	1.303667
0.130000	1.274848
0.131000	1.245576
0.132000	1.215861
0.133000	1.185714
0.134000	1.155145
0.135000	1.124167
0.136000	1.092789
0.137000	1.061022
0.138000	1.028879
0.139000	0.996370
0.140000	0.963507
0.141000	0.930302
0.142000	0.896766
0.143000	0.862912
0.144000	0.828751
0.145000	0.794296
0.146000	0.759558
0.147000	0.724551
0.148000	0.689286
0.149000	0.653776
0.150000	0.618034
0.151000	0.582072
0.152000	0.545904
0.153000	0.509541
0.154000	0.472998
0.155000	0.436286
0.156000	0.399420
0.157000	0.362412
0.158000	0.325274
0.159000	0.288022
0.160000	0.250666
0.161000	0.213222
0.162000	0.175702
0.163000	0.138120
0.164000	0.100489
0.165000	0.062822
0.166000	0.025132
0.167000	-0.012566
0.168000	-0.050260
0.169000	-0.087936
0.170000	-0.125581
0.171000	-0.163181
0.172000	-0.200723
0.173000	-0.238194
0.174000	-0.275581
0.175000	-0.312869
0.176000	-0.350046
0.177000	-0.387099
0.178000	-0.424014
0.179000	-0.460779
0.180000	-0.497380
0.181000	-0.533804
0.182000	-0.570039
0.183000	-0.606071
0.184000	-0.641887
0.185000	-0.677476
0.186000	-0.712824
0.187000	-0.747918
0.188000	-0.782747
0.189000	-0.817298
0.190000	-0.851559
0.191000	-0.885516
0.192000	-0.919160
0.193000	-0.952476
0.194000	-0.985455
0.195000	-1.018083
0.196000	-1.050349
0.197000	-1.082243
0.198000	-1.113751
0.199000	-1.144864
0.200000	-1.175571
0.201000	-1.205859
0.202000	-1.235719
0.203000	-1.265140
0.204000	-1.294112
0.205000	-1.322624
0.206000	-1.350666
0.207000	-1.378228
0.208000	-1.405300
0.209000	-1.431873
0.210000	-1.457937
0.211000	-1.483484
0.212000	-1.508503
0.213000	-1.532986
0.214000	-1.556925
0.215000	-1.580310
0.216000	-1.603134
0.217000	-1.625388
0.218000	-1.647065
0.219000	-1.668157
0.220000	-1.688656
0.221000	-1.708555
0.222000	-1.727847
0.223000	-1.746525
0.224000	-1.764582
0.225000	-1.782013
0.226000	-1.798811
0.227000	-1.814969
0.228000	-1.830482
0.229000	-1.845345
0.230000	-1.859553
0.231000	-1.873100
0.232000	-1.885981
0.233000	-1.898192
0.234000	-1.909729
0.235000	-1.920587
0.236000	-1.930763
0.237000	-1.940253
0.238000	-1.949054
0.239000	-1.957162
0.240000	-1.964575
0.241000	-1.971289
0.242000	-1.977303
0.243000	-1.982615
0.244000	-1.987223
0.245000	-1.991124
0.246000	-1.994318
0.247000	-1.996803
0.248000	-1.998579
0.249000	-1.999645
0.250000	-2.000000
0.251000	-1.999645
0.252000	-1.998579
0.253000	-1.996803
0.254000	-1.994318
0.255000	-1.991124
0.256000	-1.987223
0.257000	-1.982615
0.258000	-1.977303
0.259000	-1.971289
0.260000	-1.964575
0.261000	-1.957162
0.262000	-1.949054
0.263000	-1.940253
0.264000	-1.930763
0.265000	-1.920587
0.266000	-1.909729
0.267000	-1.898192
0.268000	-1.885981
0.269000	-1.873100
0.270000	-1.859553
0.271000	-1.845345
0.272000	-1.830482
0.273000	-1.814969
0.274000	-1.798811
0.275000	-1.782013
0.276000	-1.764582
0.277000	-1.746525
0.278000	-1.727847
0.279000	-1.708555
0.280000	-1.688656
0.281000	-1.668157
0.282000	-1.647065
0.283000	-1.625388
0.284000	-1.603134
0.285000	-1.580310
0.286000	-1.556925
0.287000	-1.532986
0.288000	-1.508503
0.289000	-1.483484
0.290000	-1.457937
0.291000	-1.431873
0.292000	-1.405300
0.293000	-1.378228
0.294000	-1.350666
0.295000	-1.322624
0.296000	-1.294112
0.297000	-1.265140
0.298000	-1.235719
0.299000	-1.205859
0.300000	-1.175571
0.301000	-1.144864
0.302000	-1.113751
0.303000	-1.082243
0.304000	-1.050349
0.305000	-1.018083
0.306000	-0.985455
0.307000	-0.952476
0.308000	-0.919160
0.309000	-0.885516
0.310000	-0.851559
0.311000	-0.817298
0.312000	-0.782747
0.313000	-0.747918
0.314000	-0.712824
0.315000	-0.677476
0.316000	-0.641887
0.317000	-0.606071
0.318000	-0.570039
0.319000	-0.533804
0.320000	-0.497380
0.321000	-0.460779
0.322000	-0.424014
0.323000	-0.387099
0.324000	-0.350046
0.325000	-0.312869
0.326000	-0.275581
0.327000	-0.238194
0.328000	-0.200723
0.329000	-0.163181
0.330000	-0.125581
0.331000	-0.087936
0.332000	-0.050260
0.333000	-0.012566
0.334000	0.025132
0.335000	0.062822
0.336000	0.100489
0.337000	0.138120
0.338000	0.175702
0.339000	0.213222
0.340000	0.250666
0.341000	0.288022
0.342000	0.325274
